I;time;file;args
3;0.0031;./datasets/Aleatórios/a7500.txt;['B', '1000']
4;0.0024;./datasets/Aleatórios/a7500.txt;['B', '1000']
5;0.0024;./datasets/Aleatórios/a7500.txt;['B', '1000']
0;0.0161;./datasets/Aleatórios/a10000.txt;['I']
1;0.0115;./datasets/Aleatórios/a10000.txt;['I']
2;0.0156;./datasets/Aleatórios/a10000.txt;['I']
3;0.0136;./datasets/Aleatórios/a10000.txt;['I']
4;0.0169;./datasets/Aleatórios/a10000.txt;['I']
5;0.0127;./datasets/Aleatórios/a10000.txt;['I']
0;0.0054;./datasets/Aleatórios/a10000.txt;['B', '10']
1;0.0041;./datasets/Aleatórios/a10000.txt;['B', '10']
2;0.0053;./datasets/Aleatórios/a10000.txt;['B', '10']
3;0.0054;./datasets/Aleatórios/a10000.txt;['B', '10']
4;0.0047;./datasets/Aleatórios/a10000.txt;['B', '10']
5;0.0042;./datasets/Aleatórios/a10000.txt;['B', '10']
0;0.0033;./datasets/Aleatórios/a10000.txt;['B', '100']
1;0.0036;./datasets/Aleatórios/a10000.txt;['B', '100']
2;0.0040;./datasets/Aleatórios/a10000.txt;['B', '100']
3;0.0035;./datasets/Aleatórios/a10000.txt;['B', '100']
4;0.0039;./datasets/Aleatórios/a10000.txt;['B', '100']
5;0.0041;./datasets/Aleatórios/a10000.txt;['B', '100']
0;0.0036;./datasets/Aleatórios/a10000.txt;['B', '1000']
1;0.0043;./datasets/Aleatórios/a10000.txt;['B', '1000']
2;0.0038;./datasets/Aleatórios/a10000.txt;['B', '1000']
3;0.0034;./datasets/Aleatórios/a10000.txt;['B', '1000']
4;0.0040;./datasets/Aleatórios/a10000.txt;['B', '1000']
5;0.0041;./datasets/Aleatórios/a10000.txt;['B', '1000']
0;0.0348;./datasets/Aleatórios/a15000.txt;['I']
1;0.0298;./datasets/Aleatórios/a15000.txt;['I']
2;0.0258;./datasets/Aleatórios/a15000.txt;['I']
3;0.0329;./datasets/Aleatórios/a15000.txt;['I']
4;0.0328;./datasets/Aleatórios/a15000.txt;['I']
5;0.0256;./datasets/Aleatórios/a15000.txt;['I']
0;0.0057;./datasets/Aleatórios/a15000.txt;['B', '10']
1;0.0062;./datasets/Aleatórios/a15000.txt;['B', '10']
2;0.0058;./datasets/Aleatórios/a15000.txt;['B', '10']
3;0.0054;./datasets/Aleatórios/a15000.txt;['B', '10']
4;0.0068;./datasets/Aleatórios/a15000.txt;['B', '10']
5;0.0059;./datasets/Aleatórios/a15000.txt;['B', '10']
0;0.0043;./datasets/Aleatórios/a15000.txt;['B', '100']
1;0.0035;./datasets/Aleatórios/a15000.txt;['B', '100']
2;0.0041;./datasets/Aleatórios/a15000.txt;['B', '100']
3;0.0036;./datasets/Aleatórios/a15000.txt;['B', '100']
4;0.0039;./datasets/Aleatórios/a15000.txt;['B', '100']
5;0.0041;./datasets/Aleatórios/a15000.txt;['B', '100']
0;0.0037;./datasets/Aleatórios/a15000.txt;['B', '1000']
1;0.0041;./datasets/Aleatórios/a15000.txt;['B', '1000']
2;0.0039;./datasets/Aleatórios/a15000.txt;['B', '1000']
3;0.0037;./datasets/Aleatórios/a15000.txt;['B', '1000']
4;0.0042;./datasets/Aleatórios/a15000.txt;['B', '1000']
5;0.0044;./datasets/Aleatórios/a15000.txt;['B', '1000']
0;0.0815;./datasets/Aleatórios/a30000.txt;['I']
1;0.0841;./datasets/Aleatórios/a30000.txt;['I']
2;0.0902;./datasets/Aleatórios/a30000.txt;['I']
3;0.0840;./datasets/Aleatórios/a30000.txt;['I']
4;0.0754;./datasets/Aleatórios/a30000.txt;['I']
5;0.0914;./datasets/Aleatórios/a30000.txt;['I']
0;0.0194;./datasets/Aleatórios/a30000.txt;['B', '10']
1;0.0125;./datasets/Aleatórios/a30000.txt;['B', '10']
2;0.0134;./datasets/Aleatórios/a30000.txt;['B', '10']
3;0.0133;./datasets/Aleatórios/a30000.txt;['B', '10']
4;0.0122;./datasets/Aleatórios/a30000.txt;['B', '10']
5;0.0118;./datasets/Aleatórios/a30000.txt;['B', '10']
0;0.0059;./datasets/Aleatórios/a30000.txt;['B', '100']
1;0.0058;./datasets/Aleatórios/a30000.txt;['B', '100']
2;0.0066;./datasets/Aleatórios/a30000.txt;['B', '100']
3;0.0060;./datasets/Aleatórios/a30000.txt;['B', '100']
4;0.0063;./datasets/Aleatórios/a30000.txt;['B', '100']
5;0.0085;./datasets/Aleatórios/a30000.txt;['B', '100']
0;0.0059;./datasets/Aleatórios/a30000.txt;['B', '1000']
1;0.0063;./datasets/Aleatórios/a30000.txt;['B', '1000']
2;0.0054;./datasets/Aleatórios/a30000.txt;['B', '1000']
3;0.0078;./datasets/Aleatórios/a30000.txt;['B', '1000']
4;0.0061;./datasets/Aleatórios/a30000.txt;['B', '1000']
5;0.0062;./datasets/Aleatórios/a30000.txt;['B', '1000']
0;0.2551;./datasets/Aleatórios/a50000.txt;['I']
1;0.2281;./datasets/Aleatórios/a50000.txt;['I']
2;0.2408;./datasets/Aleatórios/a50000.txt;['I']
3;0.2617;./datasets/Aleatórios/a50000.txt;['I']
4;0.2550;./datasets/Aleatórios/a50000.txt;['I']
5;0.2689;./datasets/Aleatórios/a50000.txt;['I']
0;0.0296;./datasets/Aleatórios/a50000.txt;['B', '10']
1;0.0293;./datasets/Aleatórios/a50000.txt;['B', '10']
2;0.0264;./datasets/Aleatórios/a50000.txt;['B', '10']
3;0.0345;./datasets/Aleatórios/a50000.txt;['B', '10']
4;0.0306;./datasets/Aleatórios/a50000.txt;['B', '10']
5;0.0318;./datasets/Aleatórios/a50000.txt;['B', '10']
0;0.0113;./datasets/Aleatórios/a50000.txt;['B', '100']
1;0.0112;./datasets/Aleatórios/a50000.txt;['B', '100']
2;0.0122;./datasets/Aleatórios/a50000.txt;['B', '100']
3;0.0115;./datasets/Aleatórios/a50000.txt;['B', '100']
4;0.0112;./datasets/Aleatórios/a50000.txt;['B', '100']
5;0.0127;./datasets/Aleatórios/a50000.txt;['B', '100']
0;0.0097;./datasets/Aleatórios/a50000.txt;['B', '1000']
1;0.0097;./datasets/Aleatórios/a50000.txt;['B', '1000']
2;0.0099;./datasets/Aleatórios/a50000.txt;['B', '1000']
3;0.0104;./datasets/Aleatórios/a50000.txt;['B', '1000']
4;0.0118;./datasets/Aleatórios/a50000.txt;['B', '1000']
5;0.0114;./datasets/Aleatórios/a50000.txt;['B', '1000']
0;0.6265;./datasets/Aleatórios/a75000.txt;['I']
1;0.5956;./datasets/Aleatórios/a75000.txt;['I']
2;0.6996;./datasets/Aleatórios/a75000.txt;['I']
3;0.5433;./datasets/Aleatórios/a75000.txt;['I']
4;0.5676;./datasets/Aleatórios/a75000.txt;['I']
5;0.5258;./datasets/Aleatórios/a75000.txt;['I']
0;0.0500;./datasets/Aleatórios/a75000.txt;['B', '10']
1;0.0609;./datasets/Aleatórios/a75000.txt;['B', '10']
2;0.0619;./datasets/Aleatórios/a75000.txt;['B', '10']
3;0.0863;./datasets/Aleatórios/a75000.txt;['B', '10']
4;0.0831;./datasets/Aleatórios/a75000.txt;['B', '10']
5;0.0913;./datasets/Aleatórios/a75000.txt;['B', '10']
0;0.0267;./datasets/Aleatórios/a75000.txt;['B', '100']
1;0.0304;./datasets/Aleatórios/a75000.txt;['B', '100']
2;0.0283;./datasets/Aleatórios/a75000.txt;['B', '100']
3;0.0176;./datasets/Aleatórios/a75000.txt;['B', '100']
