,index,I_var,time_var,file_var,args_var,num_instancias_var,nome_do_dataset_var,key,I_fixed,time_fixed,file_fixed,args_fixed,num_instancias_fixed,nome_do_dataset_fixed,delta
25,151,1,0.0034,./datasets/Aleatórios/a7500.txt,"['B', '10']",7500,Aleatórios,"./datasets/Aleatórios/a7500.txt_['B', '10']",1,0.0185,./datasets/Aleatórios/a7500.txt,"['B', '10']",7500,Aleatórios,5.4411764705882355
26,157,1,0.0023,./datasets/Aleatórios/a7500.txt,"['B', '100']",7500,Aleatórios,"./datasets/Aleatórios/a7500.txt_['B', '100']",1,0.0042,./datasets/Aleatórios/a7500.txt,"['B', '100']",7500,Aleatórios,1.826086956521739
27,163,1,0.0026,./datasets/Aleatórios/a7500.txt,"['B', '1000']",7500,Aleatórios,"./datasets/Aleatórios/a7500.txt_['B', '1000']",1,0.0046,./datasets/Aleatórios/a7500.txt,"['B', '1000']",7500,Aleatórios,1.7692307692307694
28,169,1,0.0115,./datasets/Aleatórios/a10000.txt,['I'],10000,Aleatórios,./datasets/Aleatórios/a10000.txt_['I'],1,0.2594,./datasets/Aleatórios/a10000.txt,['I'],10000,Aleatórios,22.556521739130435
29,175,1,0.0041,./datasets/Aleatórios/a10000.txt,"['B', '10']",10000,Aleatórios,"./datasets/Aleatórios/a10000.txt_['B', '10']",1,0.0334,./datasets/Aleatórios/a10000.txt,"['B', '10']",10000,Aleatórios,8.146341463414632
30,181,1,0.0036,./datasets/Aleatórios/a10000.txt,"['B', '100']",10000,Aleatórios,"./datasets/Aleatórios/a10000.txt_['B', '100']",1,0.0047,./datasets/Aleatórios/a10000.txt,"['B', '100']",10000,Aleatórios,1.3055555555555556
31,187,1,0.0043,./datasets/Aleatórios/a10000.txt,"['B', '1000']",10000,Aleatórios,"./datasets/Aleatórios/a10000.txt_['B', '1000']",1,0.0035,./datasets/Aleatórios/a10000.txt,"['B', '1000']",10000,Aleatórios,0.813953488372093
32,193,1,0.0298,./datasets/Aleatórios/a15000.txt,['I'],15000,Aleatórios,./datasets/Aleatórios/a15000.txt_['I'],1,0.5546,./datasets/Aleatórios/a15000.txt,['I'],15000,Aleatórios,18.610738255033556
33,199,1,0.0062,./datasets/Aleatórios/a15000.txt,"['B', '10']",15000,Aleatórios,"./datasets/Aleatórios/a15000.txt_['B', '10']",1,0.0522,./datasets/Aleatórios/a15000.txt,"['B', '10']",15000,Aleatórios,8.419354838709678
34,205,1,0.0035,./datasets/Aleatórios/a15000.txt,"['B', '100']",15000,Aleatórios,"./datasets/Aleatórios/a15000.txt_['B', '100']",1,0.009,./datasets/Aleatórios/a15000.txt,"['B', '100']",15000,Aleatórios,2.571428571428571
