I;time;file;args1;0.0065;./datasets/Aleatórios/a100.txt;['I']
1;0.0016;./datasets/Decrescentes/d500.txt;['B', '100'];;;
1;0.0016;./datasets/Decrescentes/d500.txt;['B', '1000'];;;
1;0.0065;./datasets/Decrescentes/d1000.txt;['I'];;;
1;0.0022;./datasets/Decrescentes/d1000.txt;['B', '10'];;;
1;0.0023;./datasets/Decrescentes/d1000.txt;['B', '100'];;;
1;0.0025;./datasets/Decrescentes/d1000.txt;['B', '1000'];;;
1;0.0209;./datasets/Decrescentes/d2000.txt;['I'];;;
1;0.0046;./datasets/Decrescentes/d2000.txt;['B', '10'];;;
1;0.0021;./datasets/Decrescentes/d2000.txt;['B', '100'];;;
1;0.0024;./datasets/Decrescentes/d2000.txt;['B', '1000'];;;
1;0.1220;./datasets/Decrescentes/d5000.txt;['I'];;;
1;0.0268;./datasets/Decrescentes/d5000.txt;['B', '10'];;;
1;0.0037;./datasets/Decrescentes/d5000.txt;['B', '100'];;;
1;0.0031;./datasets/Decrescentes/d5000.txt;['B', '1000'];;;
1;0.2812;./datasets/Decrescentes/d7500.txt;['I'];;;
1;0.0435;./datasets/Decrescentes/d7500.txt;['B', '10'];;;
1;0.0058;./datasets/Decrescentes/d7500.txt;['B', '100'];;;
1;0.0037;./datasets/Decrescentes/d7500.txt;['B', '1000'];;;
1;0.5216;./datasets/Decrescentes/d10000.txt;['I'];;;
1;0.0655;./datasets/Decrescentes/d10000.txt;['B', '10'];;;
1;0.0105;./datasets/Decrescentes/d10000.txt;['B', '100'];;;
1;0.0044;./datasets/Decrescentes/d10000.txt;['B', '1000'];;;
1;10.953;./datasets/Decrescentes/d15000.txt;['I'];;;
1;0.1235;./datasets/Decrescentes/d15000.txt;['B', '10'];;;
1;0.0155;./datasets/Decrescentes/d15000.txt;['B', '100'];;;
1;0.0064;./datasets/Decrescentes/d15000.txt;['B', '1000'];;;
1;43.310;./datasets/Decrescentes/d30000.txt;['I'];;;
1;0.4479;./datasets/Decrescentes/d30000.txt;['B', '10'];;;
1;0.0623;./datasets/Decrescentes/d30000.txt;['B', '100'];;;
1;0.0106;./datasets/Decrescentes/d30000.txt;['B', '1000'];;;
1;122.285;./datasets/Decrescentes/d50000.txt;['I'];;;
1;12.305;./datasets/Decrescentes/d50000.txt;['B', '10'];;;
1;0.1442;./datasets/Decrescentes/d50000.txt;['B', '100'];;;
1;0.0324;./datasets/Decrescentes/d50000.txt;['B', '1000'];;;
1;273.930;./datasets/Decrescentes/d75000.txt;['I'];;;
1;27.566;./datasets/Decrescentes/d75000.txt;['B', '10'];;;
1;0.2989;./datasets/Decrescentes/d75000.txt;['B', '100'];;;
1;0.0484;./datasets/Decrescentes/d75000.txt;['B', '1000'];;;
1;491.070;./datasets/Decrescentes/d100000.txt;['I'];;;
1;49.931;./datasets/Decrescentes/d100000.txt;['B', '10'];;;
1;0.4840;./datasets/Decrescentes/d100000.txt;['B', '100'];;;
1;0.0735;./datasets/Decrescentes/d100000.txt;['B', '1000'];;;
1;1.932.947;./datasets/Decrescentes/d200000.txt;['I'];;;
1;195.956;./datasets/Decrescentes/d200000.txt;['B', '10'];;;
1;19.494;./datasets/Decrescentes/d200000.txt;['B', '100'];;;
1;0.2058;./datasets/Decrescentes/d200000.txt;['B', '1000'];;;
1;12.117.782;./datasets/Decrescentes/d500000.txt;['I'];;;
1;1.222.696;./datasets/Decrescentes/d500000.txt;['B', '10'];;;
1;121.838;./datasets/Decrescentes/d500000.txt;['B', '100'];;;
1;10.791;./datasets/Decrescentes/d500000.txt;['B', '1000'];;;
1;35.287.773;./datasets/Decrescentes/d750000.txt;['I'];;;
1;2.742.548;./datasets/Decrescentes/d750000.txt;['B', '10'];;;
1;272.899;./datasets/Decrescentes/d750000.txt;['B', '100'];;;
1;23.581;./datasets/Decrescentes/d750000.txt;['B', '1000'];;;
1;52.314.385;./datasets/Decrescentes/d1000000.txt;['I'];;;
1;4.490.953;./datasets/Decrescentes/d1000000.txt;['B', '10'];;;
1;438.324;./datasets/Decrescentes/d1000000.txt;['B', '100'];;;
1;38.229;./datasets/Decrescentes/d1000000.txt;['B', '1000'];;;
1;0.0025;./datasets/Ordenados/o100.txt;['B', '10'];;;
1;0.0017;./datasets/Ordenados/o100.txt;['B', '100'];;;
1;0.0018;./datasets/Ordenados/o100.txt;['B', '1000'];;;
1;0.0023;./datasets/Ordenados/o200.txt;['I'];;;
1;0.0015;./datasets/Ordenados/o200.txt;['B', '10'];;;
1;0.0019;./datasets/Ordenados/o200.txt;['B', '100'];;;
1;0.0016;./datasets/Ordenados/o200.txt;['B', '1000'];;;
1;0.0025;./datasets/Ordenados/o500.txt;['I'];;;
1;0.0014;./datasets/Ordenados/o500.txt;['B', '10'];;;
1;0.0018;./datasets/Ordenados/o500.txt;['B', '100'];;;
1;0.0019;./datasets/Ordenados/o500.txt;['B', '1000'];;;
1;0.0018;./datasets/Ordenados/o1000.txt;['I'];;;
1;0.0027;./datasets/Ordenados/o1000.txt;['B', '10'];;;
1;0.0024;./datasets/Ordenados/o1000.txt;['B', '100'];;;
1;0.0022;./datasets/Ordenados/o1000.txt;['B', '1000'];;;
